delivery_distance_km,traffic_level,time_of_day,location_type,order_size_kg,weather_condition,rider_experience_months,address_quality_score,day_of_week,season,delivery_outcome
8.949406096274439,2,afternoon,mainland,1.4003096565761624,humid,5.828843642831289,1,monday,rainy,success
5.908358872446038,2,morning,island,5.268994959396148,rainy,37.23887095865274,1,thursday,dry,success
5.5198654102367355,3,morning,suburban,1.3928681107999714,humid,6.71243512742403,4,friday,dry,success
5.519930424709132,4,afternoon,mainland,1.3942380259246705,rainy,18.480254239762665,3,friday,rainy,delayed
16.2648202226299,4,evening,suburban,0.9024830243603044,clear,70.79283860678761,1,saturday,dry,success
10.511974242170044,4,afternoon,island,2.4785911473436864,rainy,60.64496261061673,1,sunday,rainy,success
4.639452615016869,1,morning,suburban,0.9959098426765146,clear,11.405603973192024,2,friday,rainy,success
9.202307726217802,1,night,suburban,1.775028405036601,clear,1.3980607676749468,3,tuesday,rainy,success
7.628091513330784,2,early_morning,mainland,1.1862248808238447,rainy,46.584478412870084,3,friday,dry,success
1.183139240041395,2,evening,rural,1.5047112703343977,rainy,2.7144697351133833,2,tuesday,rainy,success
2.9748574972015196,1,afternoon,mainland,3.509242991116899,rainy,51.42216629623347,1,wednesday,dry,success
7.988772515101452,3,afternoon,suburban,1.0679599963573516,rainy,26.382481590240296,3,wednesday,dry,success
15.357913336282044,1,night,suburban,0.5229316320375088,clear,54.434603089842994,4,thursday,dry,success
5.553105036910992,4,evening,mainland,1.6894310470724774,clear,21.8959003832795,2,thursday,rainy,success
4.380245572158814,4,morning,island,5.545459657721883,clear,106.42220920834117,1,friday,rainy,success
7.002227734378834,3,morning,mainland,2.3631967831535623,rainy,12.584740171374731,3,thursday,dry,success
4.192061284353554,1,morning,rural,0.7373887601786803,clear,7.998256245563652,1,tuesday,rainy,success
5.2951270684467335,4,early_morning,suburban,6.593341345690922,clear,9.994811050789757,3,thursday,rainy,success
6.440579858846144,5,night,mainland,0.8392809141214211,clear,8.62455051725109,1,saturday,rainy,delayed
2.85870459631525,2,early_morning,mainland,8.17919455513453,rainy,10.243106320277601,2,friday,rainy,success
10.850848917577427,4,afternoon,island,0.42636101696601375,clear,43.29164278232958,3,monday,dry,success
2.462005545128852,4,evening,island,15.91249566426308,clear,17.93275913761156,2,sunday,rainy,delayed
2.2221039090292667,3,evening,rural,0.15788220412969176,clear,25.870506007897866,4,wednesday,rainy,delayed
7.408645919057699,2,afternoon,mainland,2.4982184750938035,rainy,6.789987552117339,2,friday,dry,success
10.336711638489096,3,evening,mainland,2.6975469995298282,rainy,91.84642805329007,1,monday,dry,success
7.2864888131090275,3,morning,rural,2.276212124858402,clear,6.590501265101022,2,sunday,dry,success
6.002568781947824,3,evening,mainland,3.0066162942657586,rainy,3.463870381402625,5,friday,dry,delayed
5.2589648418668755,5,morning,mainland,1.2766852938490976,clear,30.119095836510134,4,tuesday,dry,success
4.670684269585953,4,night,mainland,0.11126633622192117,rainy,36.53637884802238,1,friday,rainy,success
12.37480650979763,2,early_morning,suburban,0.8855655397575193,rainy,10.010750118828755,1,wednesday,dry,success
8.038715892382257,3,morning,suburban,2.056202324947523,clear,15.577229388301623,2,tuesday,dry,success
4.943500611071401,4,afternoon,island,2.078312966413794,clear,10.693078306294819,3,thursday,dry,success
3.945602686220105,1,evening,suburban,0.4343076320788748,rainy,6.960590073233448,4,friday,dry,success
9.592512568631967,3,evening,suburban,0.5833941269972288,clear,33.57329821059169,3,tuesday,dry,success
12.198455644081562,5,morning,suburban,1.3337823633703345,humid,28.29695153237923,4,saturday,rainy,delayed
11.540672384330227,3,early_morning,rural,2.6084006086028095,rainy,13.284533959743307,3,friday,rainy,delayed
3.4537863826350588,2,morning,mainland,3.83190037111765,rainy,12.159617247555236,1,monday,rainy,success
5.227935732542445,1,afternoon,mainland,0.18091063318437875,rainy,3.973011728553672,4,thursday,dry,success
4.605326767452187,3,afternoon,suburban,5.19713411348616,clear,20.282115727442402,1,thursday,dry,success
5.71413834418227,3,morning,mainland,5.254738357201488,humid,51.455813321617256,2,friday,dry,success
10.788707440118952,2,afternoon,island,0.1,humid,25.37690441097557,4,sunday,dry,success
14.516689835973654,3,morning,island,1.4120984124909364,rainy,14.11534942046708,5,tuesday,rainy,delayed
8.231292129648644,1,night,suburban,1.7693141092986793,rainy,0.7885116711356294,1,friday,dry,success
4.0471411232797,1,morning,island,1.6135879954040446,rainy,53.26617710964558,2,tuesday,dry,success
6.343076528949229,3,afternoon,mainland,1.9130365225403156,humid,7.364667954210119,2,monday,dry,success
16.146528803612426,1,afternoon,island,1.3997446146856152,clear,7.1321423816191984,2,sunday,rainy,success
6.892016425394884,4,morning,suburban,0.6957331712660428,clear,12.682327998114511,3,sunday,rainy,success
5.2670067529858855,1,morning,suburban,0.2011979311710672,rainy,11.213133898940084,4,thursday,rainy,success
5.577410772257645,4,morning,mainland,0.4673461114483649,rainy,65.5881793202707,5,monday,dry,success
8.207933576018538,3,early_morning,suburban,2.696110673084073,rainy,3.606649642065736,4,tuesday,dry,success
3.543558329180842,3,afternoon,suburban,0.5516743847012736,clear,23.36710449181258,1,friday,rainy,success
4.526525554897151,4,morning,suburban,3.5405087677283484,humid,2.258071165664796,2,friday,rainy,success
11.438169818830481,3,early_morning,mainland,1.0333130710927174,clear,6.484088100482293,3,friday,dry,success
8.06248491148287,4,morning,suburban,1.0704957167254991,rainy,25.612554691367034,3,saturday,rainy,delayed
6.9381759598661095,3,morning,rural,4.057477709298318,clear,32.59724491259438,1,tuesday,rainy,success
11.784298511924227,3,early_morning,island,0.48233204017121595,clear,12.65702212880485,1,wednesday,dry,success
3.86657613821016,4,early_morning,mainland,0.42050212723883323,rainy,31.15068139159923,1,monday,dry,success
5.1577901574551275,3,afternoon,mainland,8.454345162646202,humid,54.70649103970622,2,monday,rainy,success
7.897279000112387,3,evening,suburban,1.5556873082314984,humid,54.91112734526173,1,wednesday,rainy,success
7.722281670438846,4,night,suburban,0.4227281650888148,clear,8.385433292642618,2,tuesday,rainy,delayed
2.0391376387356432,5,early_morning,mainland,0.362575774536452,humid,7.483394392221209,2,thursday,dry,success
4.813804676570591,3,early_morning,mainland,3.956153555124672,rainy,25.925026180183277,2,saturday,rainy,success
5.813477961719197,3,early_morning,rural,1.8318114476858764,clear,21.231793412396215,3,saturday,rainy,success
